Order ID,Order Date,Customer ID,Customer Name,Region,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100021,2023-06-17,CUST-1182,Customer 202,South,Tamil Nadu,Office Supplies,Paper,Color Paper,967.11,1,0.1,92.05
ORD-100022,2023-06-07,CUST-1630,Customer 80,West,Gujarat,Furniture,Bookcases,Steel Shelf,5938.71,1,0.0,1222.55
ORD-100023,2023-08-07,CUST-1281,Customer 81,South,Andhra Pradesh,Furniture,Bookcases,Steel Shelf,43786.57,3,0.15,3509.2
ORD-100024,2024-06-19,CUST-1388,Customer 361,West,Maharashtra,Technology,Laptops,UltraBook 14,127087.8,3,0.25,30655.4
ORD-100025,2024-04-04,CUST-1280,Customer 304,East,Jharkhand,Technology,Phones,Galaxy Max,278334.41,5,0.1,65409.42
ORD-100026,2025-06-28,CUST-1606,Customer 565,West,Goa,Technology,Phones,SmartOne 12,128838.51,3,0.0,24399.91
ORD-100027,2024-04-11,CUST-1646,Customer 485,East,Odisha,Technology,Laptops,NotePro 16,165701.44,3,0.2,12063.62
ORD-100028,2024-10-13,CUST-1594,Customer 599,West,Goa,Technology,Phones,SmartOne 12,27697.87,1,0.15,2301.43
ORD-100029,2023-05-07,CUST-1279,Customer 385,North,Delhi,Technology,Phones,SmartOne 12,26208.15,1,0.0,1632.19
ORD-100030,2024-07-06,CUST-1148,Customer 163,East,Jharkhand,Technology,Laptops,NotePro 16,122434.01,4,0.2,7044.85
ORD-100031,2024-02-14,CUST-1262,Customer 602,East,Jharkhand,Technology,Laptops,UltraBook 14,195018.78,2,0.0,12081.65
ORD-100032,2025-12-09,CUST-1480,Customer 88,North,Uttar Pradesh,Office Supplies,Storage,File Box,4369.33,3,0.15,1001.32
ORD-100033,2024-05-22,CUST-1281,Customer 311,East,Odisha,Office Supplies,Binders,Presentation Binder,629.73,2,0.1,51.73
ORD-100034,2024-02-06,CUST-1515,Customer 617,South,Kerala,Technology,Phones,Galaxy Max,95436.88,2,0.05,11288.43
ORD-100035,2024-08-09,CUST-1498,Customer 412,West,Goa,Technology,Laptops,ProBook 15,343185.79,4,0.1,59208.51
ORD-100036,2025-01-31,CUST-1404,Customer 472,South,Tamil Nadu,Technology,Accessories,USB-C Hub,15516.35,4,0.0,1115.19
ORD-100037,2025-11-16,CUST-1605,Customer 615,North,Haryana,Technology,Accessories,Webcam HD,12971.97,3,0.1,3020.87
ORD-100038,2024-11-06,CUST-1441,Customer 340,South,Kerala,Technology,Laptops,WorkMate 13,70139.06,1,0.1,11024.22
ORD-100039,2024-10-19,CUST-1317,Customer 428,West,Goa,Furniture,Bookcases,Oak Bookcase,22665.66,4,0.0,1590.52
ORD-100040,2024-01-01,CUST-1345,Customer 205,South,Andhra Pradesh,Furniture,Bookcases,Corner Shelf,28916.65,4,0.15,3868.01
ORD-100041,2024-04-24,CUST-1234,Customer 508,North,Uttar Pradesh,Office Supplies,Paper,Premium Paper,1280.09,2,0.15,339.62
ORD-100042,2025-02-25,CUST-1079,Customer 80,South,Tamil Nadu,Office Supplies,Binders,Ring Binder,3939.5,5,0.0,774.22
ORD-100043,2024-05-12,CUST-1007,Customer 197,East,West Bengal,Technology,Accessories,Wireless Mouse,11483.65,4,0.05,1742.44
ORD-100044,2025-12-28,CUST-1432,Customer 650,West,Rajasthan,Technology,Accessories,Mechanical Keyboard,19391.14,4,0.05,1444.18
ORD-100045,2025-09-10,CUST-1525,Customer 129,East,West Bengal,Technology,Laptops,WorkMate 13,43440.31,1,0.05,9932.91
ORD-100046,2023-01-06,CUST-1187,Customer 553,West,Gujarat,Technology,Laptops,UltraBook 14,85600.02,1,0.1,8976.63
ORD-100047,2025-04-26,CUST-1073,Customer 82,North,Haryana,Office Supplies,Storage,File Box,990.25,3,0.15,95.47
ORD-100048,2025-07-21,CUST-1064,Customer 462,South,Kerala,Furniture,Bookcases,Oak Bookcase,6010.58,1,0.15,674.83
ORD-100049,2024-11-06,CUST-1500,Customer 120,West,Rajasthan,Technology,Laptops,UltraBook 14,70574.7,1,0.2,4539.09
ORD-100050,2024-11-28,CUST-1271,Customer 376,West,Rajasthan,Office Supplies,Binders,Ring Binder,1719.04,2,0.0,205.1
ORD-100051,2023-06-12,CUST-1632,Customer 88,East,Odisha,Office Supplies,Binders,Ring Binder,960.69,2,0.05,74.38
ORD-100052,2024-10-31,CUST-1616,Customer 383,South,Tamil Nadu,Furniture,Chairs,Visitor Chair,25182.99,3,0.05,2519.67
ORD-100053,2024-06-03,CUST-1355,Customer 422,South,Andhra Pradesh,Technology,Phones,SmartOne 12,40132.15,1,0.1,8486.36
ORD-100054,2024-08-24,CUST-1525,Customer 479,East,Bihar,Office Supplies,Paper,Premium Paper,1009.18,2,0.1,169.47
ORD-100055,2024-07-24,CUST-1027,Customer 76,West,Maharashtra,Furniture,Bookcases,Corner Shelf,54125.99,3,0.05,8857.86
ORD-100056,2023-11-04,CUST-1586,Customer 10,North,Uttar Pradesh,Technology,Accessories,Wireless Mouse,4452.83,2,0.0,983.27
ORD-100057,2023-06-18,CUST-1049,Customer 648,West,Rajasthan,Technology,Accessories,USB-C Hub,5014.11,2,0.0,1356.01
ORD-100058,2025-02-12,CUST-1491,Customer 342,West,Gujarat,Furniture,Chairs,Ergo Chair,4799.3,2,0.1,470.73
ORD-100059,2025-12-20,CUST-1326,Customer 292,North,Haryana,Office Supplies,Paper,Color Paper,2023.55,2,0.15,167.08
ORD-100060,2024-04-20,CUST-1611,Customer 30,South,Karnataka,Office Supplies,Paper,A4 Paper Pack,761.85,2,0.0,197.04
ORD-100061,2024-10-04,CUST-1555,Customer 415,South,Tamil Nadu,Furniture,Chairs,Visitor Chair,12553.69,2,0.0,3063.42
ORD-100062,2023-03-05,CUST-1215,Customer 314,East,Odisha,Office Supplies,Storage,Drawer Organizer,1880.29,2,0.1,459.22
ORD-100063,2025-09-23,CUST-1336,Customer 69,West,Rajasthan,Furniture,Bookcases,Steel Shelf,15681.49,2,0.2,1769.55
ORD-100064,2023-07-14,CUST-1449,Customer 292,South,Andhra Pradesh,Furniture,Bookcases,Steel Shelf,7918.46,2,0.0,2085.06
ORD-100065,2023-11-01,CUST-1571,Customer 311,South,Tamil Nadu,Technology,Laptops,ProBook 15,293315.7,3,0.1,56516.74
ORD-100066,2025-11-21,CUST-1422,Customer 360,West,Rajasthan,Office Supplies,Storage,File Box,1322.47,3,0.2,227.53
ORD-100067,2023-11-12,CUST-1193,Customer 27,East,Odisha,Office Supplies,Storage,File Box,2708.82,3,0.15,212.62
ORD-100068,2024-05-24,CUST-1144,Customer 362,West,Goa,Office Supplies,Binders,Presentation Binder,3539.99,5,0.05,246.06
ORD-100069,2023-02-10,CUST-1495,Customer 464,West,Gujarat,Office Supplies,Storage,File Box,1080.84,2,0.0,221.92
ORD-100070,2025-05-27,CUST-1288,Customer 3,West,Maharashtra,Office Supplies,Storage,Drawer Organizer,1668.18,1,0.0,412.65
ORD-100071,2024-03-15,CUST-1340,Customer 227,South,Karnataka,Technology,Accessories,Webcam HD,6144.21,4,0.15,1512.33
ORD-100072,2024-03-11,CUST-1292,Customer 467,West,Goa,Furniture,Chairs,Executive Chair,4326.16,1,0.2,125.42
ORD-100073,2024-03-23,CUST-1477,Customer 387,West,Rajasthan,Technology,Accessories,Webcam HD,5388.02,1,0.1,1137.96
ORD-100074,2023-05-28,CUST-1196,Customer 295,South,Karnataka,Furniture,Bookcases,Steel Shelf,14473.22,2,0.0,782.48
ORD-100075,2025-11-17,CUST-1251,Customer 153,East,Jharkhand,Furniture,Tables,Compact Desk,30774.77,3,0.1,7887.86
ORD-100076,2025-03-24,CUST-1194,Customer 210,South,Andhra Pradesh,Furniture,Bookcases,Storage Cabinet,16269.46,2,0.1,1716.68
ORD-100077,2024-09-07,CUST-1617,Customer 647,North,Punjab,Technology,Accessories,Wireless Mouse,7423.37,3,0.15,1184.32
ORD-100078,2025-05-13,CUST-1207,Customer 621,East,Odisha,Office Supplies,Storage,File Box,471.75,1,0.1,94.43
ORD-100079,2025-11-17,CUST-1639,Customer 296,South,Andhra Pradesh,Technology,Laptops,NotePro 16,53455.0,1,0.0,3478.42
ORD-100080,2023-05-03,CUST-1635,Customer 197,South,Andhra Pradesh,Technology,Phones,Pixel Edge,101629.83,2,0.0,9920.57
ORD-100081,2023-05-03,CUST-1019,Customer 217,South,Tamil Nadu,Technology,Laptops,ProBook 15,292450.21,4,0.0,47548.15
ORD-100082,2023-10-13,CUST-1216,Customer 149,South,Kerala,Office Supplies,Storage,Drawer Organizer,2575.83,2,0.05,533.58
ORD-100083,2024-05-20,CUST-1013,Customer 598,South,Tamil Nadu,Technology,Accessories,Mechanical Keyboard,2281.67,3,0.0,186.61
ORD-100084,2023-05-02,CUST-1446,Customer 553,North,Uttar Pradesh,Technology,Phones,ProPhone X,127545.95,3,0.05,23691.02
ORD-100085,2023-06-28,CUST-1629,Customer 393,North,Punjab,Furniture,Bookcases,Steel Shelf,19689.3,3,0.2,4214.59
ORD-100086,2023-12-15,CUST-1413,Customer 207,West,Maharashtra,Office Supplies,Binders,Ring Binder,843.12,3,0.1,122.44
ORD-100087,2023-01-21,CUST-1536,Customer 207,North,Uttar Pradesh,Technology,Phones,SmartOne 12,43588.24,1,0.15,9583.9
ORD-100088,2023-06-07,CUST-1172,Customer 3,West,Maharashtra,Technology,Laptops,NotePro 16,219140.86,3,0.0,60944.85
ORD-100089,2023-05-20,CUST-1469,Customer 33,North,Haryana,Furniture,Bookcases,Steel Shelf,42943.06,4,0.2,6725.78
ORD-100090,2025-07-05,CUST-1545,Customer 165,East,West Bengal,Furniture,Chairs,Visitor Chair,5476.36,1,0.1,1374.54
ORD-100091,2025-01-12,CUST-1097,Customer 273,East,West Bengal,Technology,Laptops,NotePro 16,248080.5,3,0.1,68516.34
ORD-100092,2024-07-24,CUST-1104,Customer 444,South,Andhra Pradesh,Office Supplies,Paper,Premium Paper,2179.31,2,0.0,306.96
ORD-100093,2023-08-07,CUST-1418,Customer 571,North,Punjab,Technology,Accessories,USB-C Hub,5333.79,4,0.2,501.61
ORD-100094,2025-03-12,CUST-1454,Customer 563,South,Karnataka,Office Supplies,Binders,Lever Arch File,616.85,3,0.1,159.09
ORD-100095,2025-03-25,CUST-1408,Customer 257,West,Rajasthan,Technology,Phones,SmartOne 12,26794.35,1,0.25,3809.82
ORD-100096,2024-03-24,CUST-1235,Customer 257,South,Karnataka,Furniture,Tables,Meeting Table,25853.83,2,0.2,1360.39
ORD-100097,2024-01-08,CUST-1379,Customer 573,North,Punjab,Furniture,Chairs,Ergo Chair,19158.32,5,0.05,4278.17
ORD-100098,2024-07-26,CUST-1058,Customer 624,South,Karnataka,Technology,Phones,SmartOne 12,38233.96,2,0.05,6145.84
ORD-100099,2023-10-04,CUST-1068,Customer 640,East,Bihar,Technology,Laptops,UltraBook 14,85640.31,1,0.15,22041.9
ORD-100100,2023-06-01,CUST-1482,Customer 401,West,Gujarat,Technology,Accessories,Mechanical Keyboard,1860.08,2,0.1,454.85
ORD-100101,2023-06-25,CUST-1551,Customer 242,East,Bihar,Technology,Phones,SmartOne 12,189183.9,4,0.1,22340.26
ORD-100102,2023-08-15,CUST-1250,Customer 172,South,Tamil Nadu,Office Supplies,Storage,File Box,11357.34,5,0.0,830.12
ORD-100103,2024-05-08,CUST-1485,Customer 221,West,Rajasthan,Technology,Phones,ProPhone X,49310.82,1,0.15,12384.52
ORD-100104,2023-06-26,CUST-1293,Customer 345,East,Bihar,Technology,Phones,SmartOne 12,218143.44,5,0.2,26095.56
ORD-100105,2023-05-18,CUST-1242,Customer 361,East,Jharkhand,Technology,Laptops,ProBook 15,479206.86,5,0.1,41989.39
ORD-100106,2023-05-11,CUST-1631,Customer 261,North,Delhi,Technology,Phones,SmartOne 12,177011.88,4,0.05,27782.59
ORD-100107,2025-06-15,CUST-1443,Customer 222,East,Bihar,Office Supplies,Paper,A4 Paper Pack,952.77,3,0.1,249.39
ORD-100108,2024-11-13,CUST-1345,Customer 285,North,Uttar Pradesh,Office Supplies,Binders,Lever Arch File,787.86,3,0.15,206.79
ORD-100109,2023-11-04,CUST-1511,Customer 411,East,Jharkhand,Office Supplies,Paper,A4 Paper Pack,296.13,1,0.1,25.18
ORD-100110,2025-03-06,CUST-1399,Customer 618,South,Tamil Nadu,Technology,Accessories,Mechanical Keyboard,6836.98,2,0.1,1085.3
ORD-100111,2025-07-16,CUST-1180,Customer 645,South,Kerala,Furniture,Chairs,Visitor Chair,14700.2,1,0.1,3269.51
ORD-100112,2025-11-04,CUST-1097,Customer 468,East,Jharkhand,Technology,Laptops,ProBook 15,110900.38,2,0.15,19875.38
ORD-100113,2024-12-10,CUST-1537,Customer 60,South,Kerala,Technology,Accessories,Wireless Mouse,5548.52,2,0.05,437.98
ORD-100114,2023-01-22,CUST-1488,Customer 161,East,West Bengal,Furniture,Tables,Meeting Table,48463.87,2,0.0,12016.37
ORD-100115,2023-06-01,CUST-1624,Customer 353,East,West Bengal,Technology,Phones,Pixel Edge,51667.56,1,0.15,4990.06
ORD-100116,2023-10-07,CUST-1286,Customer 446,East,Jharkhand,Furniture,Bookcases,Corner Shelf,61441.37,3,0.05,8720.1
ORD-100117,2024-10-30,CUST-1458,Customer 319,North,Haryana,Office Supplies,Binders,Presentation Binder,1264.78,2,0.2,90.35
ORD-100118,2025-09-27,CUST-1647,Customer 498,East,Jharkhand,Technology,Laptops,ProBook 15,368442.13,4,0.15,81553.95
ORD-100119,2023-09-21,CUST-1235,Customer 267,West,Maharashtra,Furniture,Tables,Study Table,30503.6,3,0.05,5636.18
ORD-100120,2023-07-03,CUST-1152,Customer 90,North,Haryana,Office Supplies,Storage,Drawer Organizer,1951.8,1,0.05,474.31
ORD-100121,2025-12-30,CUST-1570,Customer 607,West,Rajasthan,Technology,Phones,SmartOne 12,37871.62,1,0.0,7291.19
ORD-100122,2025-05-16,CUST-1374,Customer 115,West,Rajasthan,Technology,Phones,Galaxy Max,39345.84,1,0.2,227.13
ORD-100123,2025-01-22,CUST-1444,Customer 474,South,Kerala,Furniture,Tables,Meeting Table,67466.18,3,0.25,9652.64
ORD-100124,2024-04-10,CUST-1442,Customer 541,West,Gujarat,Furniture,Chairs,Ergo Chair,6780.22,1,0.15,1567.02
ORD-100125,2025-03-31,CUST-1370,Customer 572,West,Goa,Technology,Laptops,UltraBook 14,275338.78,3,0.1,22880.38
ORD-100126,2023-03-16,CUST-1064,Customer 23,North,Punjab,Furniture,Chairs,Executive Chair,9262.91,1,0.0,2113.46
ORD-100127,2023-06-10,CUST-1028,Customer 61,East,Bihar,Technology,Accessories,Wireless Mouse,11778.21,4,0.15,2808.11
ORD-100128,2025-04-04,CUST-1267,Customer 143,South,Kerala,Technology,Accessories,Mechanical Keyboard,5194.75,2,0.15,699.31
ORD-100129,2023-04-05,CUST-1454,Customer 644,North,Haryana,Technology,Accessories,Webcam HD,5027.09,1,0.0,712.12
ORD-100130,2024-03-06,CUST-1307,Customer 427,North,Uttar Pradesh,Furniture,Tables,Compact Desk,80083.0,4,0.25,4883.56
ORD-100131,2024-08-26,CUST-1605,Customer 392,South,Karnataka,Furniture,Bookcases,Corner Shelf,13571.74,4,0.15,832.97
ORD-100132,2025-04-10,CUST-1085,Customer 340,South,Kerala,Technology,Phones,SmartOne 12,130004.52,4,0.1,14594.34
ORD-100133,2023-03-14,CUST-1505,Customer 112,South,Karnataka,Furniture,Tables,Compact Desk,27257.3,1,0.0,5414.58
ORD-100134,2025-10-22,CUST-1195,Customer 442,West,Maharashtra,Furniture,Tables,Compact Desk,19230.05,1,0.0,1826.12
ORD-100135,2024-04-08,CUST-1223,Customer 235,North,Uttar Pradesh,Technology,Phones,ProPhone X,58433.25,1,0.0,7227.69
ORD-100136,2024-10-31,CUST-1033,Customer 75,North,Haryana,Technology,Laptops,NotePro 16,83780.0,1,0.2,3897.19
ORD-100137,2025-04-06,CUST-1136,Customer 261,East,Odisha,Office Supplies,Paper,Color Paper,3231.03,3,0.1,194.38
ORD-100138,2025-06-02,CUST-1621,Customer 248,South,Karnataka,Furniture,Bookcases,Storage Cabinet,9543.62,1,0.25,813.99
ORD-100139,2023-12-18,CUST-1375,Customer 234,South,Andhra Pradesh,Technology,Laptops,WorkMate 13,99960.85,1,0.0,18547.35
ORD-100140,2025-10-12,CUST-1630,Customer 370,South,Karnataka,FURNITURE,Tables,Meeting Table,47731.13,4,0.05,7338.22
ORD-100141,2023-12-18,CUST-1325,Customer 471,South,Karnataka,Furniture,Tables,Meeting Table,12275.2,2,0.05,1082.6
ORD-100142,2025-04-08,CUST-1067,Customer 435,South,Andhra Pradesh,Furniture,Chairs,Visitor Chair,14344.88,1,0.15,2688.24
ORD-100143,2025-10-09,CUST-1593,Customer 366,North,Haryana,Technology,Accessories,Wireless Mouse,1423.96,2,0.0,294.04
ORD-100144,2024-06-28,CUST-1572,Customer 572,North,Punjab,Office Supplies,Storage,File Box,4061.26,2,0.0,511.98
ORD-100145,2023-06-26,CUST-1049,Customer 627,South,Andhra Pradesh,Technology,Laptops,WorkMate 13,203138.8,3,0.1,55263.03
ORD-100146,2025-08-20,CUST-1158,Customer 367,West,Goa,Furniture,Chairs,Visitor Chair,30139.85,2,0.0,4846.66
ORD-100147,2024-02-10,CUST-1044,Customer 185,West,Rajasthan,Furniture,Tables,Compact Desk,49327.03,2,0.0,11970.43
ORD-100148,2024-07-24,CUST-1073,Customer 245,South,Kerala,Technology,Accessories,Webcam HD,2377.71,2,0.15,484.38
ORD-100149,2024-07-26,CUST-1120,Customer 63,East,West Bengal,Furniture,Chairs,Visitor Chair,5421.35,1,0.0,700.18
ORD-100150,2025-12-03,CUST-1233,Customer 279,West,Maharashtra,Office Supplies,Binders,Lever Arch File,723.2,1,0.1,141.66
ORD-100151,2025-12-24,CUST-1339,Customer 587,South,Karnataka,Furniture,Chairs,Executive Chair,67199.27,5,0.0,8023.99
ORD-100152,2023-05-09,CUST-1044,Customer 596,North,Punjab,Office Supplies,Storage,Storage Bin,546.27,1,0.15,94.52
ORD-100153,2023-03-11,CUST-1128,Customer 627,East,Bihar,Furniture,Tables,Compact Desk,42386.39,5,0.05,4907.96
ORD-100154,2025-06-28,CUST-1599,Customer 518,North,Haryana,Office Supplies,Storage,Drawer Organizer,10095.62,5,0.15,799.52
ORD-100155,2025-12-01,CUST-1181,Customer 236,East,Odisha,Office Supplies,Binders,Ring Binder,1329.22,3,0.1,184.57
ORD-100156,2025-05-04,CUST-1559,Customer 134,South,Tamil Nadu,Technology,Phones,Galaxy Max,74839.02,2,0.2,2143.32
ORD-100157,2025-10-23,CUST-1606,Customer 42,West,Goa,Furniture,Chairs,Mesh Chair,16306.62,5,0.0,1391.42
ORD-100158,2024-08-11,CUST-1423,Customer 562,North,Delhi,Office Supplies,Binders,Ring Binder,2251.31,3,0.0,432.46
ORD-100159,2023-09-05,CUST-1274,Customer 119,West,Maharashtra,Technology,Laptops,ProBook 15,101397.18,2,0.2,17729.22
ORD-100160,2024-04-21,CUST-1495,Customer 123,South,Tamil Nadu,Furniture,Tables,Office Desk,7132.09,1,0.15,1893.1
ORD-100161,2024-07-10,CUST-1632,Customer 44,North,Haryana,Furniture,Tables,Office Desk,24964.94,2,0.25,2861.53
ORD-100162,2023-02-25,CUST-1466,Customer 40,East,West Bengal,Furniture,Chairs,Mesh Chair,73798.69,5,0.1,11761.97
ORD-100163,2024-04-14,CUST-1505,Customer 437,West,Rajasthan,Office Supplies,Binders,Presentation Binder,1495.92,3,0.2,105.03
ORD-100164,2025-06-09,CUST-1388,Customer 485,West,Rajasthan,Furniture,Tables,Study Table,27119.16,2,0.15,2700.09
ORD-100165,2025-03-30,CUST-1521,Customer 101,North,Punjab,Furniture,Chairs,Ergo Chair,16021.66,4,0.05,4324.1
ORD-100166,2025-08-25,CUST-1511,Customer 311,North,Punjab,Furniture,Chairs,Ergo Chair,13299.01,3,0.15,1759.02
ORD-100167,2023-05-20,CUST-1156,Customer 509,North,Punjab,Technology,Phones,SmartOne 12,36187.54,2,0.15,5813.83
ORD-100168,2025-06-18,CUST-1223,Customer 255,West,Maharashtra,Furniture,Bookcases,Steel Shelf,6424.45,1,0.05,1011.99
ORD-100169,2023-10-26,CUST-1585,Customer 154,South,Andhra Pradesh,Technology,Accessories,Wireless Mouse,1949.67,1,0.1,263.08
ORD-100170,2024-12-05,CUST-1327,Customer 515,West,Maharashtra,Furniture,Bookcases,Corner Shelf,44550.16,4,0.25,8024.95
ORD-100171,2024-06-07,CUST-1417,Customer 544,South,Andhra Pradesh,Technology,Phones,Galaxy Max,84937.34,2,0.05,15033.69
ORD-100172,2025-07-18,CUST-1486,Customer 175,North,Haryana,Office Supplies,Paper,A4 Paper Pack,4359.6,5,0.2,340.92
ORD-100173,2024-09-02,CUST-1409,Customer 618,East,Bihar,Technology,Accessories,Webcam HD,1573.52,1,0.0,99.65
ORD-100174,2023-07-30,CUST-1500,Customer 92,South,Tamil Nadu,Furniture,Bookcases,Corner Shelf,7137.59,1,0.15,1856.17
ORD-100175,2023-10-30,CUST-1454,Customer 165,East,Jharkhand,Technology,Accessories,Webcam HD,13607.63,5,0.05,2034.05
ORD-100176,2025-07-04,CUST-1573,Customer 26,West,Rajasthan,Technology,Accessories,USB-C Hub,3641.42,1,0.0,1014.64
ORD-100177,2023-04-08,CUST-1112,Customer 128,North,Uttar Pradesh,Office Supplies,Binders,Presentation Binder,728.72,2,0.15,68.09
ORD-100178,2024-12-04,CUST-1046,Customer 160,South,Karnataka,Office Supplies,Binders,Lever Arch File,1032.49,3,0.25,69.56
ORD-100179,2024-05-28,CUST-1124,Customer 518,East,West Bengal,Technology,Accessories,Mechanical Keyboard,3051.05,1,0.0,355.66
ORD-100180,2023-10-28,CUST-1604,Customer 147,West,Rajasthan,Technology,Accessories,USB-C Hub,5690.89,1,0.0,810.79
ORD-100181,2023-06-27,CUST-1399,Customer 554,West,Rajasthan,Technology,Laptops,UltraBook 14,129591.2,3,0.15,33823.43
ORD-100182,2025-08-08,CUST-1079,Customer 508,West,Maharashtra,Technology,Phones,Pixel Edge,96693.2,2,0.1,7687.83
ORD-100183,2025-08-18,CUST-1403,Customer 188,West,Maharashtra,Furniture,Bookcases,Oak Bookcase,31754.91,2,0.15,7060.74
ORD-100184,2024-07-07,CUST-1518,Customer 161,North,Uttar Pradesh,Furniture,Chairs,Mesh Chair,27923.95,2,0.05,7260.94
ORD-100185,2023-07-26,CUST-1254,Customer 229,West,Gujarat,Furniture,Bookcases,Storage Cabinet,37921.44,3,0.25,6903.85
ORD-100186,2023-04-13,CUST-1396,Customer 637,East,Bihar,Office Supplies,Binders,Ring Binder,580.86,2,0.2,109.33
ORD-100187,2024-01-05,CUST-1296,Customer 144,West,Goa,Office Supplies,Paper,A4 Paper Pack,1853.27,2,0.1,103.09
ORD-100188,2023-03-02,CUST-1563,Customer 34,East,Odisha,Furniture,Tables,Meeting Table,7685.14,2,0.2,495.47
ORD-100189,2025-03-28,CUST-1519,Customer 160,West,Rajasthan,Office Supplies,Paper,A4 Paper Pack,2925.17,4,0.0,670.54
ORD-100190,2025-02-17,CUST-1080,Customer 293,South,Karnataka,Office Supplies,Paper,Premium Paper,1865.61,3,0.15,297.59
ORD-100191,2025-06-08,CUST-1110,Customer 587,East,Odisha,Office Supplies,Paper,Color Paper,613.85,2,0.1,167.97
ORD-100192,2023-08-21,CUST-1057,Customer 49,West,Goa,Technology,Phones,SmartOne 12,21351.31,1,0.0,5928.39
ORD-100193,2025-04-28,CUST-1269,Customer 291,North,Haryana,Furniture,Bookcases,Oak Bookcase,36747.96,3,0.2,3943.93
ORD-100194,2025-05-23,CUST-1447,Customer 215,South,Tamil Nadu,Technology,Laptops,ProBook 15,53476.42,1,0.0,13030.93
ORD-100195,2025-04-18,CUST-1072,Customer 192,East,Bihar,Technology,Accessories,Webcam HD,8577.92,2,0.0,2223.85
ORD-100196,2024-11-12,CUST-1401,Customer 439,East,West Bengal,Furniture,Chairs,Executive Chair,8268.73,2,0.1,1732.42
ORD-100197,2024-03-24,CUST-1501,Customer 155,East,Bihar,Furniture,Chairs,Ergo Chair,9334.92,1,0.0,2061.79
ORD-100198,2024-06-01,CUST-1623,Customer 344,West,Gujarat,Office Supplies,Binders,Presentation Binder,1522.76,2,0.1,248.39
ORD-100199,2024-07-19,CUST-1333,Customer 293,East,Jharkhand,Technology,Accessories,Mechanical Keyboard,5142.86,2,0.2,411.33
ORD-100200,2023-01-01,CUST-1140,Customer 371,North,Punjab,Technology,Phones,Galaxy Max,89203.97,2,0.15,5119.8
ORD-100201,2024-11-17,CUST-1099,Customer 150,North,Delhi,Technology,Accessories,Mechanical Keyboard,4981.36,2,0.1,1119.4
